date	close	volume	ma5	p_change
2012-02-20	-0.126977346798	0.941791128256	-0.344145436858	0.0
2012-02-21	-0.1075490699	0.655531444215	-0.344603762763	10.08
2012-02-22	-0.0902180827947	0.607325700528	-0.347104882973	10.01
2012-02-23	-0.072555867737	0.605935277564	-0.345184598956	6.37
2012-02-27	-0.0535369640351	0.313198622243	-0.0918264400658	10.02
2012-03-01	-0.0644244688797	0.357627560565	-0.0818802201228	-5.22
2012-03-02	-0.07069697945	0.187217048197	-0.0743195960925	1.06
2012-03-05	-0.0760235640191	0.385712410578	-0.0681420738732	-2.9
2012-03-06	-0.0707543833911	0.209870380745	-0.0659339697426	0.0
2012-03-07	-0.0739522124404	0.192048292089	-0.0714653193245	-1.67
2012-03-08	-0.0712801439374	0.184144958755	-0.072771248888	2.79
2012-03-09	-0.0810797585216	0.17652844669	-0.0751846674561	-1.18
2012-03-12	-0.0525296663992	0.381239408194	-0.0693765936687	9.93
2012-03-13	-0.0445952813919	0.447665857891	-0.0638389087097	3.59
2012-03-14	-0.0554644490285	0.294818779975	-0.0601598655109	-7.14
2012-03-15	-0.0347331916749	0.27314000159	-0.052118833208	5.32
2012-03-16	-0.0462058054727	0.164731390196	-0.0461436787496	-1.4
2012-03-19	-0.0556824683576	0.087637055724	-0.0481179747067	-1.85
2012-03-20	-0.0462959604446	0.161908679217	-0.0465835920385	0.0
2012-03-21	-0.0712876011416	0.220412969965	-0.0513384168317	-7.44
2012-03-22	-0.0794287273864	0.166916722561	-0.0588172630938	-3.84
2012-03-23	-0.0774396415791	0.100410277906	-0.0655455105509	-1.12
2012-03-26	-0.0853882022531	0.0958294606229	-0.071732115006	-2.9
2012-03-27	-0.0801019688144	0.105615135851	-0.0775947978535	1.17
2012-03-28	-0.079006534531	0.127275860287	-0.0809048376084	-3.34
2012-03-29	-0.072012204646	0.0873961656715	-0.0778550593901	0.0
2012-03-30	-0.0950214101659	0.110655370675	-0.0842194362511	-7.57
2012-04-05	-0.0913855820507	0.105794895788	-0.0828085901058	4.17
2012-04-06	-0.0812929818993	0.205088928639	-0.0847145772004	5.38
2012-04-09	-0.0848476276139	0.115580705523	-0.0835049316599	-3.66
2012-04-10	-0.0775676394071	0.141278537905	-0.0850518347504	4.62
2012-04-11	-0.082324199971	0.0748797317499	-0.0823881889516	-1.95
2012-04-12	-0.0905710484629	0.103197918308	-0.0849949119894	0.53
2012-04-13	-0.0896122135779	0.129784089735	-0.084635890299	0.0
2012-04-16	-0.102384251783	0.112413283494	-0.089232016008	-4.61
