date	close	volume	ma5	p_change
2012-10-19	-0.0917208116763	0.693706392745	-0.328615506301	0.0
2012-10-22	-0.0803486654207	0.719411303062	-0.330290715807	5.43
2012-10-23	-0.101038397732	0.534292650226	-0.330283185763	-10.02
2012-10-24	-0.111517873016	0.343520693337	-0.330418646363	-4.94
2012-10-25	-0.12739210241	0.332260895782	-0.101956978476	-8.66
2012-10-26	-0.123220040584	0.185463283041	-0.108656549991	-0.81
2012-10-29	-0.132306714877	0.223377491751	-0.119137314735	-4.92
2012-10-30	-0.131504335525	0.140782444239	-0.125203080204	0.57
2012-10-31	-0.139672668652	0.197266690213	-0.130860237376	-3.52
2012-11-01	-0.143884410771	0.211328540474	-0.134109956059	0.99
2012-11-02	-0.143814115539	0.301410139107	-0.138314147651	0.59
2012-11-05	-0.153270999839	0.266737474892	-0.142916051473	-5.64
2012-11-06	-0.147337069519	0.232564063595	-0.146047001968	2.57
2012-11-07	-0.147440457784	0.152789370456	-0.147616027068	-0.2
2012-11-08	-0.122283814873	0.552563552652	-0.142417754585	9.96
2012-11-09	-0.120222348776	0.447494690989	-0.137706806626	0.46
2012-11-12	-0.123756898055	0.29602637557	-0.13221734103	-1.0
2012-11-13	-0.128461111946	0.24082619402	-0.128193775292	-5.43
2012-11-14	-0.127685871227	0.241420386723	-0.124671757886	1.65
2012-11-15	-0.116802547632	0.473781159898	-0.123516613792	3.54
2012-11-16	-0.130628508992	0.38862870619	-0.125166735885	-8.78
2012-11-19	-0.139675522656	0.168105622405	-0.128409080851	-5.07
2012-11-20	-0.143670203019	0.157023107518	-0.13171245346	-2.67
2012-11-21	-0.146623271321	0.132066760009	-0.135551559815	0.44
2012-11-22	-0.148837762854	0.0981276772131	-0.142019250508	-3.38
2012-11-23	-0.149909436111	0.0652619567788	-0.145699964786	0.45
2012-11-26	-0.14484666504	0.172340253835	-0.146722223126	1.01
2012-11-27	-0.155240548513	0.179324338694	-0.149074157448	-10.02
2012-11-28	-0.158530007741	0.116168018143	-0.15147242426	-4.83
2012-11-29	-0.157659389235	0.107014016728	-0.153237209328	-0.91
2012-11-30	-0.15863596493	0.0880734147772	-0.154982515092	1.84
2012-12-03	-0.164560553267	0.0993735292791	-0.160162634686	-6.7
2012-12-04	-0.162066556026	0.0960143896017	-0.160891465969	4.14
2012-12-05	-0.168085570663	0.126310181231	-0.162578193417	3.45
2012-12-06	-0.166936694208	0.118861676959	-0.164518441302	0.38
2012-12-07	-0.168177984266	0.161740288569	-0.166696163997	3.83
2012-12-10	-0.164777751809	0.182761316671	-0.167095760007	5.17
2012-12-11	-0.169504358922	0.115952027653	-0.168195855286	-4.21
2012-12-12	-0.168565790377	0.0739996906443	-0.167497613502	0.73
2012-12-13	-0.168614476738	0.0578850823799	-0.167991289274	-2.06
2012-12-14	-0.176182032934	0.0974445893207	-0.169524150046	4.46
2012-12-17	-0.170337673678	0.153397912052	-0.170684870812	4.74
2012-12-31	-0.175264749574	0.293603783972	-0.187584442458	9.95
2013-01-04	-0.155414112476	0.357453126609	-0.18001671057	9.98
2013-01-07	-0.138288110706	0.384209375963	-0.168853998758	10.01
2013-01-08	-0.117342203365	0.179408667604	-0.153814542715	10.03
2013-01-09	-0.134649725745	0.561297168779	-0.145422145759	-6.18
2013-01-10	-0.11322817664	0.566864906656	-0.132289654284	10.05
2013-01-11	-0.102835880634	0.650423275361	-0.12072168798	1.12
2013-01-14	-0.113235011713	0.432593133438	-0.116759981069	1.41
2013-01-15	-0.122193680207	0.328969394267	-0.117164042077	-2.04
2013-01-16	-0.134937928799	0.292634613832	-0.117376728798	-5.51
2013-01-17	-0.133791247786	0.177229522716	-0.121172652562	-0.95
2013-01-18	-0.137233222875	0.0916801230774	-0.12790325934	0.96
2013-01-21	-0.140601933009	0.0736387925205	-0.133069899658	-1.03
2013-01-22	-0.123273101101	0.380750459872	-0.134419306777	6.53
2013-01-23	-0.10171538731	0.567024016174	-0.128304856903	9.95
2013-01-24	-0.0875362147273	0.514633154428	-0.118271915929	3.2
2013-01-25	-0.0605334357743	0.607161879364	-0.102817623867	9.95
2013-01-28	-0.077994309088	0.458083766455	-0.0900748239058	-2.76
2013-01-29	-0.0826225192928	0.39709001652	-0.0819468506647	-0.8
2013-01-30	-0.098414121288	0.272055584187	-0.0814201200341	-5.16
2013-01-31	-0.104042409848	0.152631393996	-0.0847213590582	-1.97
2013-02-01	-0.0999487185933	0.216331217938	-0.0928898630656	3.41
2013-02-04	-0.114917194301	0.151724751268	-0.100097221883	-5.62
2013-02-05	-0.130039786266	0.161400254392	-0.109630955147	-4.18
2013-02-06	-0.12670208405	0.137227926738	-0.114912567968	1.57
2013-02-07	-0.130294848398	0.0721367876662	-0.120186385101	-0.91
2013-02-08	-0.134575867964	0.0604287088555	-0.125772573634	0.0
2013-02-18	-0.106542084387	0.294013736225	-0.124079932605	10.01
2013-02-19	-0.0860319111374	0.374694189196	-0.115564823197	4.65
2013-02-20	-0.0927868108513	0.211002259751	-0.108326723174	-0.49
2013-02-21	-0.0706814923656	0.296164162048	-0.0981965730772	4.03
2013-02-22	-0.086058546768	0.261276813525	-0.0875639661808	-5.78
2013-02-25	-0.0952278793705	0.135246379678	-0.0855435664582	-2.53
2013-02-26	-0.0937537952398	0.13612723302	-0.089067029683	-0.58
2013-02-27	-0.0933747540078	0.0919952706162	-0.0882722752111	0.72
2013-02-28	-0.0934562739646	0.145250741363	-0.0925984782143	3.24
2013-03-01	-0.0924639697951	0.141039499046	-0.0936373551292	0.94
2013-03-04	-0.09883918526	0.0729350849868	-0.0947378158261	-6.47
2013-03-05	-0.103270842156	0.0259193708021	-0.0960736260468	1.4
2013-03-06	-0.103113813497	0.0239687373278	-0.0980715447241	1.64
2013-03-07	-0.0977384928617	0.0784269426324	-0.0989257780033	0.45
2013-03-08	-0.0826194299877	0.309864795008	-0.0976990529178	4.75
2013-03-11	-0.0942852577697	0.155155043932	-0.0959061948462	-4.54
2013-03-12	-0.106618371009	0.146511021819	-0.0967213356422	-6.36
2013-03-13	-0.0963864868727	0.0851946773552	-0.0953817184459	2.47
2013-03-14	-0.100660519556	0.0204506499246	-0.0959649518504	-1.0
2013-03-15	-0.110115156157	0.0295572123011	-0.101646505743	-2.91
