date	close	volume	ma5	p_change
2011-04-01	-0.314015099905	-0.0518914068466	0.0	0.0
2011-04-06	-0.323620098592	-0.0771391038677	0.0	-3.0
2011-04-07	-0.325197209894	-0.0681172932675	0.0	0.39
2011-04-08	-0.326938632089	-0.0725462033726	0.0	2.69
2011-04-11	-0.32593341563	-0.0786230578779	-0.292102019414	0.0
2011-04-12	-0.329323467775	-0.0776130829989	-0.323451587255	-0.75
2011-04-13	-0.327552111493	-0.0691973526787	-0.321741604961	1.89
2011-04-14	-0.328648803408	-0.0657767197406	-0.321995470925	-2.59
2011-04-15	-0.332042281283	-0.0542813786133	-0.32180795043	-3.42
2011-04-18	-0.336558006839	-0.0641875191655	-0.330625660203	-1.97
2011-04-19	-0.324088223384	-0.0601811599798	-0.320109318942	-2.41
2011-04-20	-0.327973622332	-0.0546174732798	-0.324801938621	1.23
2011-04-21	-0.33105145395	-0.0466244647053	-0.32900020295	3.25
2011-04-22	-0.32677977898	-0.0524450949824	-0.327514475044	-0.79
2011-04-25	-0.328861064893	-0.0591120812046	-0.329205202419	-4.76
2011-04-26	-0.335390394113	-0.0355902378342	-0.335615973927	-5.42
2011-04-27	-0.322993770685	-0.0384405833065	-0.326038838037	0.0
2011-04-28	-0.316024342156	-0.0375988978175	-0.325096232956	1.76
2011-04-29	-0.319356851516	-0.03735662442	-0.319977151693	0.43
2011-05-03	-0.323189969393	-0.0391058147957	-0.319394077886	0.0
2011-05-04	-0.317439065985	-0.0479492517409	-0.319769834423	-1.29
2011-05-05	-0.312185907016	-0.0360334149242	-0.31711319186	2.18
2011-05-06	-0.318844338452	-0.0456372465008	-0.32212804371	-0.85
2011-05-09	-0.315773642576	-0.0332476127012	-0.317726051276	2.16
2011-05-10	-0.316936991275	-0.0310996318821	-0.313224567308	-1.69
2011-05-11	-0.318754427051	-0.0352971375612	-0.314852116405	-1.72
2011-05-12	-0.31907492768	-0.0386649908417	-0.319309936861	-3.06
2011-05-13	-0.330414908955	-0.0318904314277	-0.326517038806	-2.25
2011-05-16	-0.321198313292	-0.03426966852	-0.321112394192	-0.46
2011-05-17	-0.319392061972	-0.0388083635301	-0.318834565421	0.46
2011-05-18	-0.32423260795	-0.0351154201213	-0.321409338189	0.0
2011-05-19	-0.324303681653	-0.0309645646605	-0.322819938074	-2.3
2011-05-20	-0.322436416211	-0.0266482153409	-0.319508752214	-2.36
2011-05-23	-0.313410544277	-0.0232463688929	-0.321384415967	-1.93
2011-05-24	-0.30808693008	-0.0261820114518	-0.317387219212	3.94
2011-05-25	-0.311810369404	-0.0236906849856	-0.320237874764	-2.84
2011-05-26	-0.306010605694	-0.0277008343362	-0.314687914722	0.98
2011-05-27	-0.299237454022	-0.0332575924434	-0.30691369352	-1.45
2011-05-30	-0.297000540376	-0.0287364364991	-0.303748559442	0.0
2011-05-31	-0.302843196508	-0.0318909861918	-0.302102146269	0.98
2011-06-01	-0.301287851346	-0.0212890288302	-0.301746584759	4.37
2011-06-02	-0.293712090113	-0.0267766522854	-0.300542179123	2.79
2011-06-03	-0.295629654145	-0.0260578095312	-0.296491337611	0.45
2011-06-07	-0.301047667658	-0.0263554151727	-0.299847903543	0.45
2011-06-08	-0.301894948822	-0.0318972084564	-0.298566943488	-0.45
2011-06-09	-0.294809117256	-0.0333444986908	-0.297047176693	-0.9
2011-06-10	-0.297063425943	-0.0355162551444	-0.298671516363	-0.45
2011-06-13	-0.294494276084	-0.0268284409514	-0.298516881092	1.83
2011-06-14	-0.302411811501	-0.0438079970846	-0.299912303198	0.0
2011-06-16	-0.290947679404	-0.030729682346	-0.296979156865	0.0
