date	close	volume	ma5	p_change
2013-12-19	0.0610756209442	0.280804551266	-0.383116981882	0.0
2013-12-20	0.0244837703991	-0.0260379918098	-0.37924524698	-9.93
2013-12-23	-0.00589298858514	0.126957939236	-0.376878376519	-7.4
2013-12-24	-0.00091594953054	0.0893681401752	-0.375244296525	1.78
2013-12-25	-0.0142433197489	0.0482122669787	0.0132572107141	-2.62
2013-12-26	-0.0143369308365	0.0245275076561	-0.00192177318262	-1.79
2013-12-27	-0.0165585163824	0.01837093397	-0.0101216217987	1.09
2013-12-30	-0.0351160655425	0.0472878324723	-0.016089603663	-5.05
2013-12-31	-0.0458838037488	0.00945223389024	-0.0247187523444	-2.28
2014-01-02	-0.044014423797	-0.0102426900845	-0.0311244628434	0.97
2014-01-03	-0.0462187206945	0.00217115070654	-0.0380562878138	-1.35
2014-01-06	-0.0341066633044	-0.0016005538098	-0.0414888194598	0.59
2014-01-07	-0.040138189178	-0.0158675610117	-0.0424088833515	-1.36
2014-01-08	-0.0393077835395	-0.00960129990191	-0.0407186125393	0.79
2014-01-09	-0.0446154429029	-0.0197162980885	-0.0403108895775	-2.93
2014-01-10	-0.0462458104595	-0.0109557711913	-0.0399290708603	-2.01
2014-01-13	-0.0593203910335	-0.00506186909927	-0.0452956772799	-4.52
2014-01-14	-0.0627178573417	-0.018376294763	-0.0503978684456	0.43
2014-01-15	-0.0684148433553	-0.0237254671052	-0.056396046632	-1.5
2014-01-16	-0.0477130676811	0.0528942782499	-0.0570643724442	6.74
2014-01-17	-0.0570379573814	0.00597933788365	-0.0590742312578	-4.68
2014-01-20	-0.0545887397057	-0.0232371892388	-0.058084527858	-0.21
2014-01-21	-0.0522400228095	-0.00685210214914	-0.0552010637492	1.93
2014-01-22	-0.0543210904185	-0.0216689879786	-0.0525853058676	2.31
2014-01-23	-0.0601412413028	-0.0266073053811	-0.055244040106	-1.85
2014-01-24	-0.0599470740166	-0.0301060766238	-0.056021163002	1.26
2014-01-27	-0.0661251550934	-0.0362861310609	-0.0588108226272	-3.31
2014-01-28	-0.0544936338932	0.00486994274479	-0.0579551393123	3.63
2014-01-29	-0.059567475881	-0.0250562815529	-0.0589695360204	-1.03
2014-01-30	-0.0619528903003	-0.0367295034844	-0.0592384291205	-1.87
2014-02-07	-0.0657314897463	-0.043439041633	-0.0603689459089	0.0
2014-02-10	-0.067527373616	-0.061237496786	-0.0615890548568	2.55
2014-02-11	-0.0685040233806	-0.0555493850862	-0.0633155834926	0.21
2014-02-12	-0.0646670213354	-0.0285856309181	-0.0642610790783	1.86
2014-02-13	-0.0690426995838	-0.0573160208358	-0.0655053626222	-3.04
2014-02-14	-0.0694219199196	-0.0524485811582	-0.0662120405839	1.26
2014-02-17	-0.0611847192808	-0.0409402355956	-0.0662185717354	3.93
2014-02-18	-0.0496145200691	0.00127109017952	-0.0628227957885	2.58
2014-02-19	-0.0550423136696	-0.0412837840329	-0.0604646946206	-1.36
2014-02-20	-0.0494544176495	-0.0415210581947	-0.0568694953989	0.59
2014-02-21	-0.0547496245488	-0.0366757687179	-0.05454702972	-2.34
2014-02-24	-0.0556123598524	-0.0672467801	-0.0531139134313	-2.0
2014-02-25	-0.0549099496339	-0.0803389907926	-0.0535470984457	-3.67
2014-02-26	-0.0544886119172	-0.0682130298229	-0.0534946131532	0.42
2014-02-27	-0.0379789473994	-0.0514550077624	-0.0511741086458	4.01
2014-02-28	-0.0402242157129	-0.052287028894	-0.0486029933924	0.81
2014-03-03	-0.0427175657598	-0.0489927474702	-0.0461195873027	0.6
2014-03-04	-0.0424929298289	-0.0538087607985	-0.0435616012819	-0.6
2014-03-05	-0.0362474639575	-0.0353650949118	-0.0391192078793	0.8
2014-03-06	-0.0394090079643	-0.0537934470146	-0.0396199828257	-1.0
2014-03-07	-0.0496357386257	-0.0478891796192	-0.0422279750556	-3.02
2014-03-10	-0.0483234532618	-0.0539590916893	-0.043275290891	-3.53
2014-03-11	-0.0474385079467	-0.0517577746127	-0.0443658534282	0.65
2014-03-12	-0.0483175166885	-0.0609300355334	-0.0458866004806	-0.43
